Code,Type,Sec,Units,,Time,Place,,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44901,Res,B,4-Feb,,    TBA,TBA,,3,0,n/a,1,0,X,Bookstore,,OPEN
44902,Res,C,4-Feb,,    TBA,TBA,,3,0,n/a,0,0,X,Bookstore,,OPEN
44903,Res,D,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44904,Res,E,4-Feb,,    TBA,TBA,,20,0,n/a,0,0,X,Bookstore,,OPEN
44906,Res,F,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44907,Res,G,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44908,Res,H,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44910,Res,I,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44912,Res,J,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44914,Res,K,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44915,Res,L,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44916,Res,M,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44918,Res,N,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44919,Res,O,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44920,Res,P,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44921,Res,Q,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44922,Res,R,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44923,Res,S,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44926,Res,T,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44928,Res,U,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44929,Res,V,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44930,Res,W,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44931,Res,X,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44932,Res,Y,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44938,Res,Z,4-Feb,,    TBA,TBA,,3,0,n/a,0,0,X,Bookstore,,OPEN
44939,Res,AA,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44940,Res,BB,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44944,Res,CC,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44946,Res,DD,4-Feb,,    TBA,TBA,,5,1,n/a,1,0,X,Bookstore,,OPEN
44947,Res,EE,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44948,Res,FF,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44952,Res,GG,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44953,Res,HH,4-Feb,,    TBA,TBA,,1,0,n/a,0,0,X,Bookstore,,OPEN
44956,Res,II,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44957,Res,JJ,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44959,Res,KK,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44960,Res,LL,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44964,Res,MM,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
44966,Res,NN,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44967,Res,OO,4-Feb,,    TBA,TBA,,4,0,n/a,0,0,X,Bookstore,,OPEN
44968,Res,PP,4-Feb,,    TBA,TBA,,2,0,n/a,0,0,X,Bookstore,,OPEN
45000,Lec,A,5,,MTuWThF   10:00-10:50,VRTL REMOTE,,34,3,n/a,4,0,K and L,Bookstore,,OPEN
45010,Lec,A,5,,MTuWThF   2:00- 2:50p,VRTL REMOTE,,30,5,n/a,10,0,K and L,Bookstore,,OPEN
45020,Lec,A,4,,MW   5:00- 6:20p,VRTL REMOTE,,24,24,n/a,26,0,K and L,Bookstore,,FULL
45030,Lec,A,4,,MWF   11:00-11:50,VRTL REMOTE,,20,4,n/a,5,0,K and L,Bookstore,,OPEN
45040,Lec,A,4,,MWF   9:00- 9:50,VRTL REMOTE,,29,12,n/a,15,0,K and L,Bookstore,,OPEN
45042,Lec,A,4,,MW   9:00-10:20,VRTL REMOTE,,20,1,n/a,1,0,K and L,Bookstore,,OPEN
45043,Lec,A,4,,MWF   10:00-10:50,VRTL REMOTE,,13,5,n/a,8,0,K and L,Bookstore,,OPEN
45060,Lec,A,4,,MWF   9:00- 9:50,VRTL REMOTE,,20,18,n/a,19,0,K and L,Bookstore,,OPEN
45070,Lec,A,4,,TuTh   11:00-11:50,VRTL REMOTE,,20,10,n/a,13,0,K and L,Bookstore,,OPEN
45081,Lec,A,4,,MWF   1:00- 1:50p,VRTL REMOTE,,20,11,n/a,13,0,K and L,Bookstore,,OPEN
45083,Lec,A,4,,TuTh   10:00-11:20,VRTL REMOTE,,20,8,n/a,9,0,K and L,Bookstore,,OPEN
45087,Lec,A,4,,MWF   12:00-12:50p,VRTL REMOTE,,20,8,n/a,14,0,K and L,Bookstore,,OPEN
45095,Lec,A,4,,MW   2:00- 3:20p,VRTL REMOTE,,20,6,n/a,7,0,K and L,Bookstore,,OPEN
45110,Lec,A,4,,TuTh   4:00- 5:20p,VRTL REMOTE,,30,6,n/a,7,0,K and L,Bookstore,,OPEN
45120,Lec,A,4,,MW   3:30- 4:50p,VRTL REMOTE,,20,8,n/a,19,0,K and L,Bookstore,,OPEN
45143,Lec,A,4,,MWF   9:00- 9:50,VRTL REMOTE,,13,3,n/a,3,0,K and L,Bookstore,,OPEN
45150,Lec,A,4,,MWF   3:00- 3:50p,VRTL REMOTE,,20,2,n/a,4,0,K and L,Bookstore,,OPEN
45160,Lec,A,4,,MWF   11:00-11:50,VRTL REMOTE,,25,9,n/a,12,0,K and L,Bookstore,,OPEN
45200,Col,A,1,,Th   4:00- 4:50p,VRTL REMOTE,,0,0,n/a,0,0,K and S,Bookstore,,FULL
45300,Sem,A,2,,M   4:00- 4:50p,TBA,,20,6,n/a,8,0,L and S,Bookstore,,OPEN
45310,Sem,B,2,,M   4:00- 5:50p,TBA,,15,3,n/a,3,0,L and S,Bookstore,,OPEN
45320,Sem,C,2,,F   1:00- 1:50p,TBA,,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45330,Sem,D,2,,Tu   4:00- 4:50p,TBA,,15,3,n/a,5,0,L and S,Bookstore,,OPEN
45340,Sem,E,2,,Tu   1:00- 1:50p,TBA,,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45350,Sem,F,2,,Tu   3:00- 3:50p,TBA,,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45360,Sem,G,2,,Th   2:00- 2:50p,TBA,,15,3,n/a,4,0,L and S,Bookstore,,OPEN
45370,Sem,H,2,,W   1:00- 1:50p,TBA,,30,3,n/a,5,0,L and S,Bookstore,,OPEN
45380,Sem,I,2,,Tu   11:00-11:50,TBA,,15,3,n/a,5,0,L and S,Bookstore,,OPEN
45390,Sem,J,2,,F   4:00- 4:50p,TBA,,72,21,n/a,21,0,L and S,Bookstore,,OPEN
45400,Sem,K,2,,Th   3:00- 3:50p,TBA,,15,8,n/a,8,0,L and S,Bookstore,,OPEN
45410,Sem,L,2,,F   3:00- 3:50p,TBA,,0,0,n/a,2,0,L and S,Bookstore,,FULL
45415,Sem,M,2,,F   3:00- 3:50p,TBA,,15,3,n/a,3,0,L and S,Bookstore,,OPEN
45420,Sem,N,2,,Tu   10:00-11:50,TBA,,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45430,Sem,O,2,,F   1:00- 1:50p,TBA,,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45436,Sem,P,2,,Th   1:30- 2:50p,TBA,,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45440,Sem,Q,2,,W   4:00- 5:50p,TBA,,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45445,Sem,R,2,,Tu   2:00- 2:50p,TBA,,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45450,Sem,S,2,,Th   10:00-11:50,TBA,,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45465,Sem,T,2,,W   4:00- 5:50p,TBA,,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45470,Sem,U,2,,M   4:00- 4:50p,TBA,,15,3,n/a,4,0,L and S,Bookstore,,OPEN
45500,Res,A,12-Jan,,    TBA,TBA,,15,1,n/a,1,0,X,Bookstore,,OPEN
45501,Res,B,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45502,Res,C,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45504,Res,D,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45505,Res,E,12-Jan,,    TBA,TBA,,1,0,n/a,0,0,X,Bookstore,,OPEN
45508,Res,F,12-Jan,,    TBA,TBA,,15,1,n/a,1,0,X,Bookstore,,OPEN
45509,Res,G,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45510,Res,H,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45512,Res,I,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45514,Res,J,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45515,Res,K,12-Jan,,    TBA,TBA,,15,2,n/a,2,0,X,Bookstore,,OPEN
45516,Res,L,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
