Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44944,Res,CC,4-Feb,SILVERBERG A.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44946,Res,DD,4-Feb,SOLNA K.,    TBA,TBA,    TBA,5,1,n/a,1,0,X,Bookstore,,OPEN
44947,Res,EE,4-Feb,STREETS J.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44948,Res,FF,4-Feb,TSENG L.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44952,Res,GG,4-Feb,VERSHYNIN R.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44953,Res,HH,4-Feb,VIACLOVSKY J.,    TBA,TBA,    TBA,1,0,n/a,0,0,X,Bookstore,,OPEN
44956,Res,II,4-Feb,WAN D.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44957,Res,JJ,4-Feb,WAN F.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44959,Res,KK,4-Feb,WOLFSON J.,    TBA,TBA,    TBA,4,0,n/a,0,0,X,Bookstore,,OPEN
44960,Res,LL,4-Feb,XIN J.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44964,Res,MM,4-Feb,YU Y.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44966,Res,NN,4-Feb,ZEMAN M.,    TBA,TBA,    TBA,4,0,n/a,0,0,X,Bookstore,,OPEN
44967,Res,OO,4-Feb,ZHANG X.,    TBA,TBA,    TBA,4,0,n/a,0,0,X,Bookstore,,OPEN
44968,Res,PP,4-Feb,STAFF,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
45000,Lec,A,5,GORODETSKI A.,MTuWThF   10:00-10:50 ,VRTL REMOTE,    TBA,34,3,n/a,4,0,K and L,Bookstore,,OPEN
45010,Lec,A,5,KAPLAN N.,MTuWThF   2:00- 2:50p,VRTL REMOTE,Thu Dec 17 1:30-3:30pm,30,5,n/a,10,0,K and L,Bookstore,,OPEN
45020,Lec,A,4,GUIDOTTI P.,MW   5:00- 6:20p,VRTL REMOTE,Wed Dec 16 10:30-12:30pm,24,24,n/a,26,0,K and L,Bookstore,,FULL
45021,Dis,A1,0,STAFF,TuTh   4:00- 4:50p,VRTL REMOTE,,12,12,n/a,13,0,K and L,Bookstore,,FULL
45022,Dis,A2,0,STAFF,    TBA,VRTL REMOTE,,12,12,n/a,12,0,K and L,Bookstore,,FULL
45030,Lec,A,4,ZHANG X.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,20,4,n/a,5,0,K and L,Bookstore,,OPEN
45040,Lec,A,4,FIGOTIN A.,MWF   9:00- 9:50 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,29,12,n/a,15,0,K and L,Bookstore,,OPEN
45041,Dis,A1,0,STAFF,MWF   3:00- 3:50p,VRTL REMOTE,,20,12,n/a,14,0,K and L,Bookstore,,OPEN
45042,Lec,A,4,LI S.,MW   9:00-10:20 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,20,1,n/a,1,0,K and L,Bookstore,,OPEN
45043,Lec,A,4,CHEN L.,MWF   10:00-10:50 ,VRTL REMOTE,Mon Dec 14 10:30-12:30pm,13,5,n/a,8,0,K and L,Bookstore,,OPEN
45060,Lec,A,4,KOMAROVA N.,MWF   9:00- 9:50 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,20,18,n/a,19,0,K and L,Bookstore,,OPEN
45070,Lec,A,4,REYES M.,TuTh   11:00-11:50 ,VRTL REMOTE,Tue Dec 15 10:30-12:30pm,20,10,n/a,13,0,K and L,Bookstore,,OPEN
45071,Dis,A1,0,STAFF,MWF   1:00- 1:50p,VRTL REMOTE,,20,9,n/a,12,0,K and L,Bookstore,,OPEN
45081,Lec,A,4,BARANOVSKY V.,MWF   1:00- 1:50p,VRTL REMOTE,Wed Dec 16 1:30-3:30pm,20,11,n/a,13,0,K and L,Bookstore,,OPEN
45083,Lec,A,4,WAN D.,TuTh   10:00-11:20 ,VRTL REMOTE,    TBA,20,8,n/a,9,0,K and L,Bookstore,,OPEN
45087,Lec,A,4,TSENG L.,MWF   12:00-12:50p,VRTL REMOTE,Mon Dec 14 1:30-3:30pm,20,8,n/a,14,0,K and L,Bookstore,,OPEN
45095,Lec,A,4,VIACLOVSKY J.,MW   2:00- 3:20p,VRTL REMOTE,Fri Dec 18 1:30-3:30pm,20,6,n/a,7,0,K and L,Bookstore,,OPEN
45110,Lec,A,4,KLEIN A.,TuTh   4:00- 5:20p,VRTL REMOTE,    TBA,30,6,n/a,7,0,K and L,Bookstore,,OPEN
45120,Lec,A,4,VERSHYNIN R.,MW   3:30- 4:50p,VRTL REMOTE,Mon Dec 14 4:00-6:00pm,20,8,n/a,19,0,K and L,Bookstore,,OPEN
45143,Lec,A,4,GOLDBRING I.,MWF   9:00- 9:50 ,VRTL REMOTE,Wed Dec 16 8:00-10:00am,13,3,n/a,3,0,K and L,Bookstore,,OPEN
45150,Lec,A,4,YU Y.,MWF   3:00- 3:50p,VRTL REMOTE,Mon Dec 14 4:00-6:00pm,20,2,n/a,4,0,K and L,Bookstore,,OPEN
